content,sentiment,processed
"Trà sữa ngon , giao hàng nhanh, tài xế giao hàng nhiệt tình dù trời mưa, đường xấu, cho 5 sao👌",pos,trà sữa ngon giao hàng tài_xế giao hàng nhiệt_tình trời mưa đường xấu 5 👌
"mình thích sữa tươi trân châu đường đen nhất . Ngon , ngọt , béo vừa phải , gần nhà 1km nên đặt hàng giao nhanh lắm ! sẽ tiếp tục ủng hộ .",pos,sữa_tươi trân_châu đường đen ngon_ngọt béo 1km đặt_hàng giao lắm tiếp_tục ủng_hộ
Gà ngon lắm. Quên mất ko chụp lại ảnh. Nhưng rất ngon. Lại được mã giảm giá của Loship và free ship nữa,pos,gà ngon lắm quên không chụp ảnh ngon mã giảm_giá loship free ship
"giao nhanh,nước ngon",pos,giao ngon
Bún ngon thịt cũng ngon lần sau đặt tiếp ạ ăn vừa miệng,pos,bún ngon thịt ngon tiếp vừa_miệng
ngon lắm luôn,pos,ngon lắm
"Đồ uống ngon, dễ uống",pos,đồ uống ngon uống
đã ăn nhiều tại quán. ok,pos,quán ok
cơm chay ngon xuất sắc,pos,cơm chay ngon xuất_sắc
"Nem ngon, nước chấm vừa ăn ngon lắm ạ ! rau sạch sẽ và chị chủ quán nhiệt tình ạ :v",pos,nem ngon nước_chấm ngon lắm rau_sạch_sẽ chủ quán nhiệt_tình v
"Ngon lắm nha mn , nên ghé ăn thử ạ",pos,ngon lắm nha mn ghé thử
Ngon 😋 lắm,pos,ngon 😋 lắm
sữa tươi ở đây đỉnh nhất. Đặt hoài mà khônglần nào thất vọng á mọi người. nên thử ạ,pos,sữa_tươi đỉnh hoài khônglần thất_vọng thử
rất ngon nhé,pos,ngon
"chè ngon, quán gói hàng cẩn thận",pos,chè ngon quán gói hàng cẩn_thận
rất ngon rất hài lòng,pos,ngon hài_lòng
Ngon lắm mọi người,pos,ngon lắm
ngon rẻ shop còn. tặng thêm trái xoài ngon,pos,ngon rẻ shop tặng trái xoài ngon
bánh mì ngon lắm,pos,bánh_mì ngon lắm
Đang đói mà nhận được phần combo còn nóng luôn. Ăn vô cùng hài lòng. Viên to chà bá. Vị ngon hơn mong đợi. Nói chung chất lượng tốt so với tầm giá. Sẽ ủng hộ quán tiếp!!!,pos,đói combo nóng vô_cùng hài_lòng viên to chà_bá vị ngon mong_đợi nói_chung chất_lượng tốt tầm giá ủng_hộ quán tiếp
ngon chưa nè,pos,ngon nè
Trà sữa thơm vừa ngon,pos,trà sữa thơm ngon
sữa tươi trân châu rất ngon,pos,sữa_tươi trân_châu ngon
Ngon xỉu luôn. Bún xào ngon vs tui nha,pos,ngon xỉu bún xào ngon vs tui nha
"bột chiên chiên hơi cứng ạ, nước tương ngon",pos,bột chiên chiên hơi cứng tương ngon
"trà sữa ngon, đậm vị",pos,trà sữa ngon đậm vị
"kimbap trà vải ngon cực nha ,nhiềuu ăn no ,chiên giòn ngon có kèm dưa leo,phải chi quán có kèm theo majone chấm nữa là 10đ luôn",pos,kimbap trà vải ngon cực nha nhiềuu no chiên giòn ngon kèm dưa_leo chi quán kèm majone chấm 10đ
hài lòng cơm ngon,pos,hài_lòng cơm ngon
"trà sữa ngon, thạch nhiều",pos,trà sữa ngon thạch
ngon lắm nha,pos,ngon lắm nha
hài  lòng,pos,hài_lòng
Một tô rất to vị đậm đà vừa ăn,pos,tô to vị đậm_đà
ngon tuyệt vời,pos,ngon tuyệt_vời
"Hàng chất lượng, ship nhanh. vote shop 5 sao. lần sau sẽ tiếp tục ủng hộ shop. 🥰🥰🥰🥰🥰🥰🥰",pos,hàng chất_lượng ship vote shop 5 tiếp_tục ủng_hộ shop 🥰
"bánh tráng ngon, đồ ăn ổn, sốt nhiều. trà đào bình thường, giống trà đào gói",pos,bánh_tráng ngon đồ ổn sốt trà đào bình_thường trà đào gói
"Shipper giao hơi đổ ra ngoài 1 chút 
Vị khá ok so với giá",pos,shipper giao hơi đổ 1 chút vị khá ok giá
ngon lắm ạ,pos,ngon lắm
Ly t2 trong ngày👍,pos,ly t2 👍
a shipper dễ thương lắm luôn ý 😍,pos,a shipper dễ_thương lắm 😍
Ngon xỉu í,pos,ngon xỉu í
chè thái nhìn không giống hình cho lắm mà cũng tạm (thạch dừa nhãn mít hạt lựu v.v),pos,chè thái không hình lắm tạm thạch dừa nhãn mít hạt lựu v v
Đồ uống ngon!,pos,đồ uống ngon
"Trà sữa ngon, nhưng hơi nhiều đá. phục vụ chu đáo, nhanh",pos,trà sữa ngon hơi đá phục_vụ chu_đáo
Dc của ló,pos,dc ló
"Giao nhanh, trà ngon 😍",pos,giao trà ngon 😍
ngon quá đi,pos,ngon đi
"Mê bánh trứng KFC dễ sợ,  nóng giòn siêu ngon ạ",pos,mê bánh trứng kfc sợ nóng giòn siêu ngon
"Ngon, nhiều, đầy đủ rau thơm và rất nhiều thịt, gia vị vừa phải, rất ngon nha mọi người",pos,ngon đầy_đủ rau_thơm thịt gia_vị vừa_phải ngon nha
Đồ ăn siêu nhiều 😊,pos,đồ siêu 😊
"Cơm trung bình, nhưng đồ ăn ngon. Sẽ ủng hộ tiếp.",pos,cơm trung_bình đồ ngon ủng_hộ tiếp
Gần nhà mà nay mò app mới bit. Sẽ ủng hộ thêm nhiều lần nữa 😘,pos,mò app bit ủng_hộ 😘
"Nhiều thịt, ăn rất ngon",pos,thịt ngon
rất là ok luôn ^^,pos,ok
"Bún bò ngon, cho tô lớn để có thể trộn rau vào ăn chung, nước ngon",pos,bún_bò ngon tô có_thể trộn rau ngon
"Cafe siêu ngon luôn ạ, còn nhiều nữa🥰",pos,cafe siêu ngon 🥰
Mì rất ngon và nhiều rất nên thử,pos,mì ngon thử
"Trà sữa bạc hà có vị the mát, mùi bạc hà nhẹ, uống oke",pos,trà sữa bạc_hà vị the_mát mùi bạc_hà nhẹ uống oke
"Bún bò ngon, đặt biệt rất nhiều thịt 😍😍😍",pos,bún_bò ngon biệt thịt 😍
"Nước dùng hơi nhạt 
Khẩu phần nhiều",pos,nước_dùng hơi nhạt khẩu_phần_nhiều
Rất hài lòng!!!,pos,hài_lòng
"Bánh mì ngon , đóng gói cẩn thậnn",pos,bánh_mì ngon đóng_gói cẩn thậnn
Trà sữa rất ngon,pos,trà sữa ngon
"Cafe ngon, sạch, thơm. Rất đáng để thử.",pos,cafe ngon sạch thơm thử
Rất chất lượng 👍,pos,chất_lượng 👍
"Nhiều thịt, nhiều bánh. Nước dùng vừa vặn. Có 35k thui mà được hộp hủ tiếu bò kho thế này thì không thể đòi hỏi thêm gì trong khi mọi thứ đều tuyệt thế . Mn nên ăn thử nha",pos,thịt bánh nước_dùng vừa_vặn 35k thui hộp hủ_tiếu bò kho không_thể đòi_hỏi tuyệt mn thử nha
"trà sữa ngon, topping nhiều, sẽ tiếp tục ủng hộ",pos,trà sữa ngon topping tiếp_tục ủng_hộ
mì ok ok,pos,mì ok ok
xịn xịn cực ạ ăn ngon lắm ạ,pos,xịn xịn cực ngon lắm
ngon ! điểm 10++,pos,ngon 10
ngonnnnnnnnnnnnn lắm nè,pos,ngon lắm nè
OK khuyến mãi tốt quá ngon đã nhận hàng,pos,ok khuyến_mãi tốt ngon hàng
ngonnnnnn với tốt,pos,ngon tốt
Rất hài lòng,pos,hài_lòng
Ngon như cũ,pos,ngon cũ
ăn được. ship nhiệt tình,pos,ship nhiệt_tình
"ngon lắm ạ, tưởng rẻ nên ko hi vọng nhiều, ai ngờ ngon quá trời",pos,ngon lắm tưởng rẻ không hi_vọng ai_ngờ ngon trời
trứng lòng đào ngon,pos,trứng lòng_đào ngon
Có 100đ thì nhất định sẽ cho 1000đ. Thời ơi quá ưng cái nư. Rẻ mà trân châu ngập tràn,pos,100đ nhất_định 10đ thời ưng nư rẻ trân_châu ngập_tràn
"ngon ạ, cảm ơn cửa hàng,",pos,ngon cảm_ơn cửa_hàng
Bánh nóng ăn ngon lắm ạ,pos,bánh nóng_ăn ngon lắm
"bánh mì nóng, thịt chả pate ngon miệng",pos,bánh_mì nóng thịt chả pate ngon_miệng
"bánh mì nóng,giòn,đầy đặn nhân,sốt đầy đủ.Ưng nhaaaa",pos,bánh_mì nóng giòn đầy_đặn nhân sốt đầy_đủ ưng_nha
"trà ổi ngon ngọt, trà không chỉ có mứt ổi mà còn có miếng ổi nữa, giá rẻ. ^-^",pos,trà ổi ngon_ngọt trà không mứt ổi miếng ổi giá rẻ
hầu như ngày nào cx ăn cơm ngon ,pos,hầu_như cx cơm ngon
rất hài lòng,pos,hài_lòng
"bánh thơm, nóng, mềm ... ",pos,bánh thơm nóng mềm
Cảm ơn món quà dễ thương 🥰,pos,cảm_ơn món quà dễ_thương 🥰
"sợi mỳ nấu hơi cứng, nhưng vẫn ok",pos,sợi mỳ nấu hơi cứng ok
ngon hài lòng,pos,ngon hài_lòng
Ngon ok hài lòng ship nhanh,pos,ngon ok hài_lòng ship
món  ăn ngon.tài xế thân thiện. vui vẻ,pos,món ngon tài_xế thân_thiện vui_vẻ
Bánh tráng ăn rất ngon.,pos,bánh_tráng ngon
Cà phê ngon,pos,cà_phê ngon
cơm ngon. sẽ đặt hằng ngày,pos,cơm ngon hằng
tài xế vui vẻ dễ tính 5sao,pos,tài_xế vui_vẻ dễ_tính 5sao
ngon nha vs chu đáo lắm,pos,ngon nha vs chu_đáo lắm
Bánh tráng trộn ngon lắm,pos,bánh_tráng trộn ngon lắm
Cơm ngon và rất nhiều.,pos,cơm ngon
ngon sẽ ủng hộ tiếp,pos,ngon ủng_hộ tiếp
ủng hộ lâu dài,pos,ủng_hộ lâu_dài
"Ngon , đóng gói xịn",pos,ngon đóng_gói xịn
ngon ngon và ngon,pos,ngon ngon ngon
"Ok ăn dc, hơi cay xíu",pos,ok dc hơi cay_xíu
rất hài lòng,pos,hài_lòng
rất hài lòng,pos,hài_lòng
Ngon tuyệt vời,pos,ngon tuyệt_vời
đồ uống ngon nha,pos,đồ uống ngon nha
"ngon , và rẻ ..",pos,ngon rẻ
Tuyệt vời .ăn khỏi ốm luôn!,pos,tuyệt_vời ốm
giao hàng tốt,pos,giao hàng tốt
Rất là ok ạ,pos,ok
Hộp đầy đủ,pos,hộp đầy_đủ
"Quá yêu thương luôn , lắng nghe khách hàng 10 điểm lần sau đặt tiếp",pos,yêu_thương lắng_nghe khách_hàng 10 tiếp
"hài lòng , ngon",pos,hài_lòng ngon
"bánh tráng ăn là ghiền luôn,trà sữa thì nhiều thạch  ,ngon ghê,tiếp tục ủng hộ",pos,bánh_tráng ghiền trà sữa thạch ngon ghê tiếp_tục ủng_hộ
ngon lắm đó sẽ ủng hộ,pos,ngon lắm ủng_hộ
shiper thân thiện,pos,shiper thân_thiện
"Rất ngon, nhất là sốt đậu phộng ạ",pos,ngon sốt đậu_phộng
"uống ngon giá rẻ,còn được tặng bịch bánh tráng xíu xiu",pos,uống ngon giá rẻ tặng bịch bánh_tráng xíu xiu
nước uống khá ổn áp,pos,uống khá ổn_áp
cảm ơn rất tốt,pos,cảm_ơn tốt
Đồ ăn ngon,pos,đồ ngon
ngon đầy đặn đồ ăn sạch sẽ,pos,ngon đầy_đặn đồ sạch_sẽ
"phục vụ đầy đủ dụng cụ uống, nước siêu ngon, lớp kem phô mai mê ly,,… giá cả phải chăng, mình sẽ đặt tiếp…",pos,phục_vụ đầy_đủ dụng_cụ uống siêu ngon lớp kem phô_mai mê_ly … giá_cả phải_chăng tiếp …
"Trời ơi, ngon lắm luôn á. Mình sẽ phải tốn tiền với quán này hoài thôi 😂😂😂",pos,trời ngon lắm tốn tiền quán hoài 😂
"Bún bò khá là ok, có dc kèm khăn giấy như ghi trên👍👍",pos,bún_bò khá ok dc kèm khăn giấy ghi 👍 👍
"Ngon, giao hàng nhanh",pos,ngon giao hàng
mì ngon còn được bọc giấy bạc sạch sẽ,pos,mì ngon bọc giấy bạc sạch_sẽ
Rất Ngon. sốt chấm hợp khẩu vị,pos,ngon sốt chấm hợp_khẩu_vị
giao hàng nhanh chóng. Khuyến mại giá quá hời luôn. Nước chất lượng lắm nha 👍👍,pos,giao hàng nhanh_chóng khuyến_mại giá hời chất_lượng lắm nha 👍 👍
khá ngon nha,pos,khá ngon nha
cơm ngon lắm nha mn,pos,cơm ngon lắm nha_mn
"bún ngon, hợp vệ sinh, giá cả hợp lí",pos,bún ngon hợp vệ_sinh giá_cả hợp_lí
món ngon mỗi ngày,pos,món ngon
"món ăn ngon , một phần là no luôn ạ",pos,món ngon no
chè rất ngon,pos,chè ngon
"ngon, rất hài lòng",pos,ngon hài_lòng
Thịt kho tiêu hơi mặn một chút xíu. Cần cải thiện. Còn lại mọi thứ đều ok,pos,thịt kho tiêu hơi mặn một_chút_xíu cải_thiện ok
Hay ăn ở quán nên rất ok,pos,ăn_ở quán ok
"bún cá ngon ,giá phải chăng ,rất ngon",pos,bún cá ngon giá phải_chăng ngon
"trà ngon, nếu thèm ngọt tý sẽ ngon hơn",pos,trà ngon thèm tý ngon
"giao nhanh, tài xế thân thiện.",pos,giao tài_xế thân_thiện
rất tuyệt vời..cảm ơn shop,pos,tuyệt_vời cảm_ơn shop
10 điểm 💗,pos,10 💗
Thích matcha ở đây . Sẽ quay lại và đặt nữa,pos,matcha
ngon nhức nách,pos,ngon nhức nách
ok no nê,pos,ok no_nê
Món ăn hơi khô cũng oke,pos,món hơi khô oke
ngon quá quán ơi,pos,ngon quán
ok lắm đấy,pos,ok lắm đấy
phục vu tốt lắm,pos,phục vu tốt lắm
"Ngon , đã ăn nhiều lần vẫn ghiền",pos,ngon ghiền
"bún ngon, hài lòng",pos,bún ngon hài_lòng
"Gà của mình là phần lườn , không phải đùi nhưng vì ngon nên không sao",pos,gà lườn không đùi ngon không
ngon tuyệt mn ạ,pos,ngon tuyệt mn
giao hàng nhanh lắm nhaaa,pos,giao hàng lắm nha
ngonnnnnn như một vị thần,pos,ngon vị_thần
"Gà có phần hơi đắng , tất cả mọi thứ đều ổn !!",pos,gà hơi đắng tất_cả ổn
"uống hết luôn rồi cơ mà trà tắc tuyệt cú mèo luôn
mình ghiền rồi ngày nào cũng uống hết á",pos,uống cơ_mà trà tắc tuyệt cú_mèo luônmình ghiền uống
"Hôm nay là ngày giáng sinh, ly trà sữa phô mai Nọng hình dáng tuần lộc vị trà đậm đà, sữa ngọt thơm. 
Mình ưng ý và hài lòng, cảm ơn Trà sữa Nọng",pos,hôm_nay giáng_sinh ly trà sữa phô_mai nọng hình_dáng tuần_lộc vị trà đậm_đà sữa thơm ưng_ý hài_lòng cảm_ơn trà sữa nọng
"Ăn xong rồi mới nhớ chụp ảnh. Bánh mỳ ngon, gần công ty nên cả công ty ngày nào cũng đặt",pos,xong chụp ảnh bánh mỳ ngon công_ty công_ty
ngon ăn được,pos,ngon_ăn
trà dâu uống có vị dâu!. ngon nhé shop!!,pos,trà dâu uống vị dâu ngon shop
Ok rất ok,pos,ok ok
ngon! rất ngon!,pos,ngon ngon
"Quán chuẩn bị món nhanh, thức uống ngon ạ.",pos,quán chuẩn_bị món thức uống ngon
nhiều và ngon,pos,ngon
"Trà sữa ngon , topping nhiều . Rất đáng tiền",pos,trà sữa ngon topping tiền
đồ ăn rất ngon,pos,đồ ngon
"đồ ăn ngon
đề nghị nữa có đặt nữa cho xin để vào hộp nhựa tại đi làm ko có đem tô theo",pos,đồ ngonđề nghị hộp nhựa đi không đem tô
ok luôn ạ,pos,ok
Cảm ơn Loship  chúc loship phát triển. thành công nhé,pos,cảm_ơn loship chúc loship phát_triển thành_công
cảm ơn của hàng nha,pos,cảm_ơn hàng nha
ngon vừa ăn,pos,ngon
ngon nên mua sẽ tiếp tục mua,pos,ngon mua tiếp_tục mua
Rất hài lòng,pos,hài_lòng
Rất hài lòng,pos,hài_lòng
quán thích lắm lần nào cx đặt ở đây,pos,quán lắm cx
"Ngon nhưng hơi ít, ly nhỏ xíu",pos,ngon hơi ly nhỏ_xíu
"cơm canh nước mắm đầy đủ, thơm lắm lun",pos,cơm canh nước_mắm đầy_đủ thơm lắm lun
hài lòng lắm,pos,hài_lòng lắm
ngon và rẻ,pos,ngon rẻ
"sinh tố ngon, nhưng nhiều đá",pos,sinh_tố ngon đá
ý là chưa ăn nhưng mà thấy cũng ok đó mấy ba,pos,ok mấy
khá ngon ạ,pos,khá ngon
"ngon  lắm  nha  , mê  cái  sa tế  lắm  lun  😍😍",pos,ngon lắm nha mê sa tế lắm lun 😍 😍
vẫn ngon như mấy lần trước đặt,pos,ngon mấy
Ngon giao nhanh thức ăn nhiều.,pos,ngon giao thức_ăn
"tô mì gà phô mai sốt ngon, nhiều phô mai, ko bị ngán như mấy chỗ khác, nhiều loại topping, đặt có mã 20% nên giá khá ok",pos,tô mì gà phô_mai sốt ngon phô_mai không ngán mấy chỗ khác topping mã 20 giá khá ok
"ngon , tuyệt vời",pos,ngon tuyệt_vời
rất ngon sẽ ủng hộ tiếp,pos,ngon ủng_hộ tiếp
trà sữa rất ngon,pos,trà sữa ngon
"Rất ngon,rất hài lòng",pos,ngon hài_lòng
"Gà sốt ngon, Đóng gói sạch sẽ đẹp mắt, Mỗi cơm ở đây ít thật mn ạ. hihi",pos,gà sốt ngon đóng_gói sạch_sẽ đẹp_mắt cơm mn hihi
"Quán làm đúng ghi chú của mình nè siêu yêu, nui chiên ngon lắm luôn, nước tương vừa miệng, sẽ ủng hộ quán nữa😊",pos,quán đúng ghi_chú nè siêu yêu nui chiên ngon lắm tương vừa_miệng ủng_hộ quán 😊
Rất ngon luôn nhaa quán,pos,ngon nhaa quán
mê món này rồi,pos,mê món
rất ngon tuyệt vời,pos,ngon tuyệt_vời
"Trân châu mềm ngon hoàn hảo ko chê đâu được,mãi yêu quán và luôn ủng hộ quán 👍👍 ❤️❤️",pos,trân_châu mềm ngon hoàn_hảo không chê mãi yêu quán ủng_hộ quán 👍 👍 ❤ ️ ❤ ️
"Ngon, sẽ tiếp tục ủng hộ",pos,ngon tiếp_tục ủng_hộ
ngon lắm nha,pos,ngon lắm nha
"Ui bạch tuộc giòn to mà ăn ngon xuất sắc, còn sò điệp thì tươi ngon. Chỗ này phải nói ngon tuyệt vời, đáng đồng tiền bát gạo",pos,ui bạch_tuộc giòn to ngon xuất_sắc sò điệp tươi ngon chỗ ngon tuyệt_vời đồng_tiền bát gạo
món ngon gói đẹp giá tốt,pos,món ngon gói đẹp giá tốt
Trà ngon shipper nhiệt tình,pos,trà ngon shipper nhiệt_tình
"ngon, topping nhiều, tuyệt vờiiiii",pos,ngon topping tuyệt_vời
"Bún sợi nhỏ,ngon ạ!!",pos,bún sợi ngon
"rất ngon nha , mn nên mua ạ 🥰🥰",pos,ngon nha mn mua 🥰 🥰
ngon và rẻ ạ,pos,ngon rẻ
Ngon lắm ạ,pos,ngon lắm
Khẩu phần nhiều. Ngon.,pos,khẩu_phần_nhiều ngon
Bún ngon đậm vị nhiều đồ ăn nữa nói chung ngon lắm nên thử,pos,bún ngon đậm vị đồ nói_chung ngon lắm thử
"Ngon, nhiều thịt chả",pos,ngon thịt chả
Chất  lượng tuyệt,pos,chất_lượng tuyệt
Ngon và nhiều :3,pos,ngon 3
"cơm ngon, rất hài lòng ạ",pos,cơm ngon hài_lòng
"Trà sữa ngon, nhân viên phục vụ rất nhiệt tình",pos,trà sữa ngon nhân_viên phục_vụ nhiệt_tình
"ngon vệ sinh
",pos,ngon vệ_sinh
"thịt ngon và nhiều, giá hợp lí",pos,thịt ngon giá hợp_lí
Cacao đá xay ở đây rất ngon nha mng vị đắng thơm ngọt vừa phải … ai team không thích ngọt gắt thì chọn cacao đá xay nha,pos,cacao đá xay ngon nha mng vị đắng thơm vừa_phải … team không gắt cacao đá xay nha
trà sữa rất ngon và cũng cho rất nhiều trân châu,pos,trà sữa ngon trân_châu
"Ngon quá trời lun mà rẻ nữa, 1 suất nhiều topping siêu chất lượng",pos,ngon trời lun rẻ 1 suất topping siêu chất_lượng
"Rất tuyệt vời, đóng gói đẹp sạch sẻ",pos,tuyệt_vời đóng_gói đẹp sạch sẻ
"Ngon nhiều topping, sẽ tiếp tục ủng hộ",pos,ngon topping tiếp_tục ủng_hộ
ổn lắm à nha,pos,ổn lắm nha
"Bánh tráng ngon, nhưng mình nghĩ nên trộn luôn cho khách thì ngon hơn là khách tự trộn.",pos,bánh_tráng ngon trộn ngon trộn
25k rất đáng đồng tiền nha. Nhưng mỗi tội bánh ép nóng thì ngon hơn ạ tại em ăn quen kiểu đấy rồi.,pos,25k đồng_tiền nha tội bánh ép nóng ngon quen kiểu đấy
cũng ok so với giá,pos,ok giá
"Trà sữa không ngọt, vị trà nhiều hơn vị sữa, trân châu đen hơi cứng, được cái trân châu ngọc trai dẻo ăn ngon, uống cũng tạm được. 😀😀😀",pos,trà sữa không vị trà vị sữa trân_châu đen hơi cứng trân_châu_ngọc_trai dẻo ngon uống tạm 😀
"Cơm chiên bò, ngon lắm nhaaa",pos,cơm_chiên bò ngon lắm nha
"ngon, sẽ ủng hộ",pos,ngon ủng_hộ
Rẻ ngon so với giá tiền,pos,rẻ ngon giá tiền
Shipper giao hàng nhanh.,pos,shipper giao hàng
"Ngon,sẽ ủng hộ thêm",pos,ngon ủng_hộ
Ngon nha mn,pos,ngon nha_mn
"đồ ăn giao đến còn nóng , ngon , đóng gói cẩn thận",pos,đồ giao nóng ngon đóng_gói cẩn_thận
cảm ơn Như Ý nhé,pos,cảm_ơn như_ý
ngon vừa miệng,pos,ngon vừa_miệng
ngon ngon ngon,pos,ngon ngon ngon
Cơm mềm ngon đỉnh 😍😍. Lại còn đc chủ quán free cho cốc nước chanh đường giải khát nữa ạ . Sau lại phải đặt đồ của quán nữa rồii 🥰🥰,pos,cơm mềm ngon đỉnh 😍 😍 đc chủ quán free cốc chanh đường giải_khát đồ quán rồii 🥰 🥰
Nghiện bánh tráng chị này mất rồiiii 😍😍,pos,nghiện bánh_tráng 😍 😍
ngon lắm nha,pos,ngon lắm nha
"khá là ok nha, mỗi tội ko giao thìa thôi ạ",pos,khá ok nha tội không giao thìa
Trà sữa ngon !! Ngày nào cũng 1 ly,pos,trà sữa ngon 1 ly
rẻ mà lại ngon.,pos,rẻ mà_lại ngon
Ngon sạch sẽ. Đóng gói cẩn thận,pos,ngon sạch_sẽ đóng_gói cẩn_thận
"mãn nhãn, big win",pos,mãn nhãn big win
bánh mì nóng và siêu giòn luôn,pos,bánh_mì nóng siêu giòn
"nước uống rất ngon, phục vụ tận tình và shipper rất dễ thương",pos,uống ngon phục_vụ tận_tình shipper dễ_thương
"tài xế rất ga lăng nhaa ,bánh mì rất ngonn",pos,tài_xế ga_lăng nhaa bánh_mì ngonn
bạn ship nhanh nhiệt tình. hài lòng.,pos,ship nhiệt_tình hài_lòng
ok shop ơi,pos,ok shop
"Cơm ngon, nước ngọt. nói chung rất vừa miệng và ưng cái bụng nha",pos,cơm ngon nước_ngọt nói_chung vừa_miệng ưng bụng nha
"Ngon, ship nhanh",pos,ngon ship
"Mình đặt một ly trà sữa kem trứng,béo ngon lắm các bạn.Không phải là xuất sắc đâu nhưng đáng tiền lắm nhé",pos,ly trà sữa kem trứng béo ngon lắm không xuất_sắc tiền lắm
Rất ngon và trang trí rất đẹp,pos,ngon trang_trí đẹp
"Quán làm đúng ghi chú, có cho nhiều mỡ hành. Sườn miếng to. Có canh kèm theo. Nước mắm hơi ít: 9đ. 
Tuy nhiên, sườn miếng hơi cứng nha quán. Thú thật là ăn xong miếng sườn của quán mà mình bị nhức răng tạm thời luôn á quán ơi. Quán khắc phục chỗ này là 10đ nha.",pos,quán đúng ghi_chú mỡ hành sườn miếng to canh kèm nước_mắm hơi 9đ tuy_nhiên sườn miếng hơi cứng nha quán thú_thật xong miếng sườn quán nhức tạm_thời quán quán khắc_phục chỗ 10đ nha
"Ngon, còn nóng, nhưng tương hơi ít",pos,ngon nóng tương hơi
"Bán hàng có tâm, nhiều cửa hàng cho đống bún ăn cho no đc 4-5 miếng đậu nhỏ. Sẽ ủng hộ tiếp !",pos,hàng tâm cửa_hàng đống bún no đc 4 5 miếng đậu ủng_hộ tiếp
Trà sữa ngon,pos,trà sữa ngon
rất hài lòng,pos,hài_lòng
Ngon ạ hơi đắt so với mua tại quán ạ,pos,ngon hơi đắt mua quán
ngon xuất sắc lum. Cảm ơn,pos,ngon xuất_sắc lum cảm_ơn
đặt trà sữa được tặng hoa nè kkk😜,pos,trà sữa tặng hoa nè k 😜
đồ ăn ổn,pos,đồ ổn
tài xế ok .đẹp trai lại vui tính.ước gì a chưa có người yêu .,pos,tài_xế ok đẹp_trai vui_tính ước a người_yêu
"trà sữa giá rẻ nhưng ngon nha, phục vụ tận tình, chuẩn bị hàng nhanh",pos,trà sữa giá rẻ ngon nha phục_vụ tận_tình chuẩn_bị hàng
"Trà sữa ngon. Phần kem trứng hơi mặn , kem nên đặc hơn và lớp đường cháy nhiều hơn sẽ ngon . Chúc quán ngày càng phát triển",pos,trà sữa ngon kem trứng hơi mặn kem đặc lớp đường cháy ngon chúc quán ngày_càng phát_triển
"cảm ơn, rất hài lòng",pos,cảm_ơn hài_lòng
"Đồ ăn ngon, hợp khẩu vị",pos,đồ ngon hợp_khẩu_vị
Cơm ngon lắm ạ. Nhưng hơi ít mắm😁,pos,cơm ngon lắm hơi mắm 😁
cám ơn bạn trà sữa rất ngon  phục vụ tốt . chúc bạn sức khỏe .quán Hồng phát,pos,cám_ơn trà sữa ngon phục_vụ tốt chúc sức_khỏe quán hồng_phát
Đặt phô mai mà giao xóc muối hơi buồn chút xíu nhưng vẫn ngon lắm,pos,phô_mai giao xóc muối hơi buồn chút_xíu ngon lắm
rất hài lòng,pos,hài_lòng
"Cá nhân mình thấy ổn áp, sẽ mua tiếp",pos,cá_nhân ổn_áp mua tiếp
"Ngon thật lần đầu đặt rất ưng , cho ngọt thêm tí nữa ạ",pos,ngon đầu ưng tí
Bánh tráng chấm ngon xuất sắc.. cửa hàng chu đáo nữa,pos,bánh_tráng chấm ngon xuất_sắc cửa_hàng chu_đáo
rất hài lòng,pos,hài_lòng
Cũng tạm được nhưng nước hơi mặn.,pos,tạm hơi mặn
Sữa tươi ngon cực,pos,sữa_tươi ngon cực
Trà sữa thơm ngon,pos,trà sữa thơm ngon
Ok cửa hàng,pos,ok cửa_hàng
"món ăn tuyệt vời , hải sản bao tươi.  hương vị đậm đà . mùi mắm bao thơm . sẽ ủng hộ quán tiếp",pos,món tuyệt_vời hải_sản bao tươi hương_vị đậm_đà mùi mắm bao thơm ủng_hộ quán tiếp
Ngon lắm luôn,pos,ngon lắm
ngon lắm shop nha 🥰,pos,ngon lắm shop nha_🥰
ok ngon lắm,pos,ok ngon lắm
quá ngon! ủng hộ,pos,ngon ủng_hộ
rất là ngon,pos,ngon
"hài lòng,hợp vệ sinh",pos,hài_lòng hợp vệ_sinh
"Ngon, quán phục vụ nhanh",pos,ngon quán phục_vụ
okkkk ngonn nhanh gọn,pos,ok ngonn gọn
"ăn cũng được ạ, rất sạch sẽ. cám ơn quán",pos,sạch_sẽ cám_ơn quán
hoàn hảo a,pos,hoàn_hảo a
Ngon  lắm nha,pos,ngon lắm nha
Quá ngon. Ok,pos,ngon ok
Ngon lắm luôn,pos,ngon lắm
"nước mỳ quá ngon đậm đà rất thanh.hải sản tươi.giá phải chăng.trình bày bắt mắt
",pos,mỳ ngon đậm_đà hải_sản tươi giá phải_chăng trình_bày bắt_mắt
Ngon lắm nha,pos,ngon lắm nha
Ngon lắm ạ,pos,ngon lắm
"Trà sữa ngon lắm luôn ạ, vị trà thơm , sẽ ủng hộ quán nhiều",pos,trà sữa ngon lắm vị trà thơm ủng_hộ quán
rất tốt hài lòng,pos,tốt hài_lòng
Ngon nhất thế giới 😊😊😊,pos,ngon thế_giới 😊
"Có chả và chả cua, bò rất dai! Còn lại ổn.",pos,chả chả cua bò dai ổn
